V1,V2
12tables.txt,1
1644.txt,8
abbofloracensis.txt,7
adso.txt,7
aelredus.txt,7
agnes.txt,7
alfonsi.disciplina.txt,7
andecavis.txt,6
andreasbergoma.txt,6
andronicus.txt,1
angilbert.txt,6
annalesregnifrancorum.txt,6
annalesvedastini.txt,7
anon.deramis.txt,7
anon.martyrio.txt,5
anon.nev.txt,7
anselmepistula.txt,7
anselmproslogion.txt,7
arbroath.txt,8
archpoet.txt,7
arnulf.txt,7
asconius.txt,3
aus.mos.txt,4
aus.sept.sent.txt,4
avianus.txt,5
avienus.ora.txt,4
avienus.periegesis.txt,4
axio.txt,5
balbus.txt,3
balde1.txt,8
balde2.txt,8
bebel.txt,8
benedict.txt,6
berengar.txt,7
bernardcluny1.txt,7
bernardcluny2.txt,7
biggs.txt,8
bill.rights.txt,8
blesensis.txt,7
bonaventura.itinerarium.txt,7
boskovic.txt,8
brevechronicon.txt,7
buchanan.txt,8
calpurniusflaccus.txt,3
carm.bur.txt,7
carmeninvictoriam.txt,7
catalogueliberien.txt,4
catullus.txt,2
celtis.odes.txt,8
celtis.oratio.txt,8
censorinus.txt,4
cinna.txt,2
claud.inscr.txt,3
clitophon.txt,1
colman.txt,6
columbus.txt,8
corvinus1.txt,8
corvinus2.txt,8
cotta.txt,8
debury.txt,8
declaratio.txt,8
decretum.txt,6
dicchristi.txt,7
don.txt,4
dulcesolum.txt,7
dumdiane.txt,7
dumestas.txt,7
ebulo.txt,5
egeria1.txt,4
egeria2.txt,4
ein.txt,6
ency.fides.txt,8
enn.txt,1
ennodius.txt,6
epitomecononiana.txt,6
epitomefeliciana.txt,6
erchempert.txt,7
estas.txt,7
eucherius.txt,5
eugenius.txt,7
eugippius.txt,6
exivi.txt,8
fabe.txt,8
falcandus.txt,7
falcone.txt,7
ferraria.txt,8
ficino.txt,8
fletcher.txt,8
florus1.txt,3
florus2.txt,3
foedusaeternum.txt,7
forsett1.txt,8
forsett2.txt,8
fortunat.txt,6
fredegarius.txt,6
frodebertus.txt,6
fronto.txt,3
fulbert.txt,7
gaius1.txt,4
gaius2.txt,4
gaius3.txt,4
gaius4.txt,4
garcilaso.txt,8
garland.txt,7
gaud.txt,8
gauss.txt,8
germanicus.txt,2
gestarom.txt,8
gioacchino.txt,7
godfrey.epigrammata.txt,7
godfrey.epigrammatahist.txt,7
grattius.txt,2
gravissimas.txt,8
greg.txt,6
gregdecretals1.txt,7
gregdecretals2.txt,7
gregdecretals3.txt,7
gregdecretals4.txt,7
gregdecretals5.txt,7
gregory7.txt,7
gwinne1.txt,8
gwinne2.txt,8
gwinne3.txt,8
gwinne4.txt,8
gwinne5.1.txt,8
gwinne5.2.txt,8
gwinne5.3.txt,8
gwinne5.4.txt,8
halley.txt,8
hebet.txt,7
henry1.txt,8
henry2.txt,8
henry3.txt,8
henrysettimello.txt,7
hipp.txt,8
histapoll.txt,7
histbrit.txt,6
holberg.txt,8
hrabanus.txt,6
hydatiuschronicon.txt,5
hydatiusfasti.txt,5
iabervocius.txt,8
iamdulcis.txt,7
ilias.txt,3
innocent1.txt,7
innocent2.txt,7
inquisitio.txt,7
iordanes1.txt,6
iordanes2.txt,6
janus1.txt,8
janus2.txt,8
jfkhonor.txt,8
johannes.txt,7
junillus.txt,6
kalila.txt,7
landor.1858.txt,8
landor1795.txt,8
landor1806.txt,8
landor1810.txt,8
legenda.stephani.txt,7
leo1.txt,7
leo2.txt,7
leo3.txt,7
letabundus.txt,7
levis.txt,7
lhomond.historiae.txt,8
lhomond.viris.txt,8
lotichius.txt,8
luther.95.txt,8
luther.lteramus.txt,8
luther.praef.txt,8
macarius.txt,5
macarius1.txt,5
magnacarta.txt,7
maidstone.txt,8
malaterra1.txt,7
malaterra2.txt,7
malaterra3.txt,7
malaterra4.txt,7
manilius1.txt,8
manilius2.txt,8
manilius3.txt,8
manilius4.txt,8
manilius5.txt,8
mapps1.txt,7
mapps2.txt,7
marbodus.txt,7
marcellinus1.txt,6
