V1,V2
sall.lep.txt,0.66375
varro.ll5.txt,0.363125
may5.txt,0.478125
seb.txt,0.074375
hist.txt,0.978125
iacob.txt,0.846875
quinc.txt,0.430625
liv.per33.txt,0.455
diad.txt,0.9675
ovid.ponto2.txt,0.121875
seneca.ep9.txt,0.010625
vulgar.txt,0.475625
murena.txt,0.65625
solinus5.txt,0.315625
conf2.txt,0.11
sall.frag.txt,0.4725
epistola.txt,0.980625
vitapauli.txt,0.271875
hyginus2.txt,0.343125
civ3.txt,0.11625
seneca.ep3.txt,0.25875
john3.txt,0.325
liv.per35.txt,0.2025
annalesregnifrancorum.txt,0.10875
ovid.artis1.txt,0.056875
vell2.txt,0.85125
ruaeus.txt,0.91125
liv.per97.txt,0.29375
musica.txt,0.111875
liv.per90.txt,0.948125
hyginus5.txt,0.9775
seneca.ep14-15.txt,0.444375
31 (1).txt,0.154375
theod11.txt,0.79
suet.rhet.txt,0.808125
4.txt,0.78125
sulla.txt,0.688125
7.txt,0.79875
repub6.txt,0.935
timothy2.txt,0.329375
fam2.txt,0.99875
orosius6.txt,0.833125
malaterra4.txt,0.284375
sicmeafata.txt,0.54375
suet.titus.txt,0.539375
carmeninvictoriam.txt,0.7125
bonaventura.itinerarium.txt,0.620625
contro.txt,0.139375
indices.txt,0.643125
liv.30.txt,0.595
digest27.txt,0.9025
cotta.txt,0.276875
att7.txt,0.636875
moriae.txt,0.7875
gregory7.txt,0.418125
1 (1).txt,0.835625
digest41.txt,0.375625
milo.txt,0.505
digest40.txt,0.6075
liv.per125.txt,0.2875
liv.per47.txt,0.6425
mapps2.txt,0.355625
ency.fides.txt,0.9
pliny.ep6.txt,0.86125
serm1 (1).txt,0.29375
gregorytours7.txt,0.966875
orosius4.txt,0.948125
solinus3a.txt,0.274375
hymni.txt,0.37
vulgar2.txt,0.598125
serm76.txt,0.349375
17 (2).txt,0.426875
quintilian.institutio5.txt,0.84375
geo3.txt,0.750625
vico.orat6.txt,0.425625
q1.52.txt,0.625
4 (3).txt,0.241875
prologus (1).txt,0.526875
don.txt,0.401875
lucretius4.txt,0.46625
walter2.txt,0.453125
fulgentius4.txt,0.26625
psplato.demodocus.txt,0.038125
civ9.txt,0.2375
chris.txt,0.27375
hist1.txt,0.090625
victor.ill.txt,0.5875
ovid.tristia1.txt,0.724375
q1.14.txt,0.708125
lucan1.txt,0.025
fam14.txt,0.04
acts.txt,0.6425
trin10.txt,0.610625
q1.42.txt,0.8675
tusc1.txt,0.636875
mariamag.txt,0.859375
laude.txt,0.366875
trin6.txt,0.275625
trin8.txt,0.07125
q1.32.txt,0.398125
sententiae.txt,0.73125
digest43.txt,0.970625
clod.txt,0.5325
hipp.txt,0.605625
ovid.ponto4.txt,0.734375
sen.agamemnon.txt,0.139375
varia6.txt,0.779375
vitruvius6.txt,0.4125
persa.txt,0.201875
wmconchesphil.txt,0.61875
prud6.txt,0.8825
liv.per50.txt,0.293125
q1.40.txt,0.01
9.txt,0.25
mart2.txt,0.870625
civ1.txt,0.36625
nepos.fragmenta.txt,0.550625
liv.per76.txt,0.15
gall2.txt,0.474375
5 (3).txt,0.98375
sedulius.solis.txt,0.243125
silvae4.txt,0.1075
lucretius5.txt,0.2
balbo.txt,0.765
gelliuscapitula.txt,0.398125
capellanus2.txt,0.135
theganus.txt,0.65375
strat1.txt,0.983125
vatin.txt,0.603125
att15.txt,0.990625
histapoll.txt,0.615625
eugenius.txt,0.135625
miles.txt,0.699375
alanus1.txt,0.19125
withof5.txt,0.45625
index.txt,0.049375
albertanus.sermo2.txt,0.955625
vell1.txt,0.866875
24 (1).txt,0.07125
deaeternitate.txt,0.3775
digest9.txt,0.793125
digest8.txt,0.1075
liv.per81.txt,0.3725
enn.txt,0.080625
may3.txt,0.269375
conf1.txt,0.700625
varia9.txt,0.114375
dicchristi.txt,0.915
nepos.kings.txt,0.8625
quintilian.decl.mai8.txt,0.9
liv.23.txt,0.921875
q1.2.txt,0.216875
q1.50.txt,0.69375
q1.16.txt,0.333125
blas.txt,0.575625
maidstone.txt,0.303125
off2.txt,0.17125
strena.txt,0.314375
nemesianus1.txt,0.57
liv.per131.txt,0.726875
concilium1.txt,0.166875
avid.txt,0.183125
lucan5.txt,0.705
silius16.txt,0.04375
lucan6.txt,0.114375
iulianus1.txt,0.01375
20 (3).txt,0.37375
lhomond.viris.txt,0.6175
quintilian.institutio9.txt,0.05875
ovid.met9.txt,0.5575
columella.rr1.txt,0.8475
conf3.txt,0.4775
quadragesima2.txt,0.43125
tertullian.praescrip.txt,0.475
seneca.ep6.txt,0.584375
quintilian.decl.mai13.txt,0.678125
trin1.txt,0.165
solinus2a.txt,0.88625
tertullian.oratione.txt,0.83125
serm81.txt,0.73375
liv.per19.txt,0.37
achilleid1.txt,0.86125
compet.txt,0.883125
inscriptions.txt,0.87375
abbofloracensis.txt,0.33625
williamapulia.txt,0.465625
sen.consolatione2.txt,0.07625
seneca.ep11-13.txt,0.793125
sidonius9.txt,0.414375
gall3.txt,0.7925
pert.txt,0.27
fabe.txt,0.895
q1.30.txt,0.07
q1.41.txt,0.12125
9 (2).txt,0.64
apuleius.deosocratis.txt,0.7725
q1.29.txt,0.686875
cat2.txt,0.923125
petrarchmedicus.txt,0.400625
estas.txt,0.455625
liv.per100.txt,0.583125
tertullian.genesis.txt,0.4
digest28.txt,0.096875
att9.txt,0.848125
amic.txt,0.625
eucherius.txt,0.386875
obitu.txt,0.00125
sen.ira3.txt,0.760625
seneca.contr10.txt,0.705
digest15.txt,0.360625
mapps1.txt,0.52625
liv.per115.txt,0.708125
plancio.txt,0.318125
phil11.txt,0.615625
tertullian.fuga.txt,0.711875
digest31.txt,0.54875
liv.per52.txt,0.8
ovid.her6.txt,0.48875
conf11.txt,0.83125
ilias.txt,0.5175
vitruvius9.txt,0.054375
liv.per45.txt,0.12625
luther.lteramus.txt,0.399375
digest19.txt,0.494375
15 (4).txt,0.913125
albertanus4.txt,0.129375
q1.69.txt,0.4125
sen.qn6.txt,0.2925
nepos.han.txt,0.364375
obsequens.txt,0.67375
p1.txt,0.340625
sen.qn7.txt,0.1125
tac.agri.txt,0.888125
janus2.txt,0.08
pliny.ep3.txt,0.0525
silius12.txt,0.5475
nepos.pel.txt,0.279375
orosius3.txt,0.08125
off3.txt,0.3575
nithardus1.txt,0.93
tertullian.anima.txt,0.203125
tertullian.apol.txt,0.9375
avienus.ora.txt,0.14125
inventione1.txt,0.761875
ovid.amor2.txt,0.30875
apuleius.mundo.txt,0.956875
21 (2).txt,0.14
prologus.txt,0.560625
gregdecretals5.txt,0.566875
q1.8.txt,0.971875
vitruvius2.txt,0.198125
gregorytours2.txt,0.356875
serm6.txt,0.72
liv.32.txt,0.405625
civ18.txt,0.691875
q1.60.txt,0.696875
aen3.txt,0.028125
lotichius.txt,0.4475
sedulius2.txt,0.928125
11 (3).txt,0.97875
pliny.nh3.txt,0.863125
sidonius6.txt,0.89875
digest30.txt,0.870625
att2.txt,0.75
liv.per36.txt,0.89875
propertius1.txt,0.73625
egeria2.txt,0.140625
att12.txt,0.22
mensoria.txt,0.265625
tibullus3.txt,0.05875
fin2.txt,0.48
prud11.txt,0.175625
trina.txt,0.6525
tac.ger.txt,0.42875
consulatu.txt,0.43
prud3.txt,0.55125
galileo.sid.txt,0.115625
gregorytours3.txt,0.09
ovid.her10.txt,0.418125
phil5.txt,0.45125
carm2.txt,0.60875
des.syn.txt,0.454375
gwinne5.3.txt,0.383125
q1.34.txt,0.740625
serm17.txt,0.454375
liv.per88.txt,0.39125
liv.per60.txt,0.238125
simedignetur.txt,0.039375
carus.txt,0.8875
epist (1).txt,0.8
corinthians1.txt,0.656875
theb1.txt,0.47625
seneca.contr2.txt,0.869375
1 (3).txt,0.33
jud.txt,0.044375
liv.per136-7.txt,0.2075
nivis.txt,0.7475
bede3.txt,0.066875
appverg.catalepton.txt,0.713125
7 (2).txt,0.63
q1.72.txt,0.2925
milton.quintnov.txt,0.24125
liv.per61.txt,0.80625
gord.txt,0.369375
10 (3).txt,0.79375
balde2.txt,0.595625
mir9.txt,0.318125
6 (3).txt,0.59125
prop4.txt,0.423125
29 (1).txt,0.185
13.txt,0.563125
piccolomini.ep4.txt,0.55375
septsap.txt,0.545
decretum.txt,0.085625
phil3.txt,0.439375
digest45.txt,0.423125
liv.per107.txt,0.1075
liv.per83.txt,0.44125
nithardus4.txt,0.883125
suet.gram.txt,0.073125
mart6.txt,0.64625
john.txt,0.64125
